date,oil_productivity,gas_productivity,operator_name
2010-11-01,3948.5,110.0,SLAWSON EXPLORATION COMPANY INC
2011-06-01,3126.6666666666665,588.3333333333334,SLAWSON EXPLORATION COMPANY INC
2011-05-01,3322.3333333333335,969.6666666666666,SLAWSON EXPLORATION COMPANY INC
2011-03-01,2206.5,1478.5,SLAWSON EXPLORATION COMPANY INC
2011-02-01,2454.0,348.5,SLAWSON EXPLORATION COMPANY INC
2011-01-01,3634.5,150.0,SLAWSON EXPLORATION COMPANY INC
2011-07-01,2353.0,1416.0,PETRO-HUNT DAKOTA LLC
2011-06-01,3337.6666666666665,2703.3333333333335,PETRO-HUNT DAKOTA LLC
2011-05-01,4432.0,3055.0,PETRO-HUNT DAKOTA LLC
2011-04-01,3830.3333333333335,2447.3333333333335,PETRO-HUNT DAKOTA LLC
2011-03-01,3012.0,1748.0,PETRO-HUNT DAKOTA LLC
2011-02-01,4670.0,3399.0,PETRO-HUNT DAKOTA LLC
2010-04-01,188.0,5.0,PETRO-HUNT DAKOTA LLC
2010-03-01,427.0,301.0,PETRO-HUNT DAKOTA LLC
2010-02-01,582.0,397.0,PETRO-HUNT DAKOTA LLC
2010-01-01,439.0,243.0,PETRO-HUNT DAKOTA LLC
2018-08-01,1330.2222222222222,1018.0,PETRO-HUNT DAKOTA LLC
2018-07-01,1286.3870967741937,2607.1451612903224,PETRO-HUNT DAKOTA LLC
2018-06-01,1354.274193548387,2662.435483870968,PETRO-HUNT DAKOTA LLC
2018-05-01,1444.7096774193549,2602.3064516129034,PETRO-HUNT DAKOTA LLC
2018-04-01,1323.016129032258,2210.7258064516127,PETRO-HUNT DAKOTA LLC
2018-03-01,1388.4032258064517,2320.8709677419356,PETRO-HUNT DAKOTA LLC
2018-02-01,1256.6129032258063,2057.6774193548385,PETRO-HUNT DAKOTA LLC
2018-01-01,1554.483870967742,2554.1451612903224,PETRO-HUNT DAKOTA LLC
2017-12-01,1545.1129032258063,2452.451612903226,PETRO-HUNT DAKOTA LLC
2017-11-01,1540.1612903225807,2004.8387096774193,PETRO-HUNT DAKOTA LLC
2017-10-01,1547.7868852459017,2505.344262295082,PETRO-HUNT DAKOTA LLC
2017-09-01,1506.0,2352.233333333333,PETRO-HUNT DAKOTA LLC
2017-08-01,1645.322033898305,2419.0338983050847,PETRO-HUNT DAKOTA LLC
2017-07-01,1649.9830508474577,2312.728813559322,PETRO-HUNT DAKOTA LLC
2017-06-01,1563.1525423728813,2029.084745762712,PETRO-HUNT DAKOTA LLC
2017-05-01,1737.8983050847457,2147.7796610169494,PETRO-HUNT DAKOTA LLC
2017-04-01,1707.2881355932204,604.1864406779661,PETRO-HUNT DAKOTA LLC
2017-03-01,1735.3389830508474,1982.0677966101696,PETRO-HUNT DAKOTA LLC
2017-02-01,1623.322033898305,1682.0169491525423,PETRO-HUNT DAKOTA LLC
2014-12-01,3619.595744680851,3182.404255319149,PETRO-HUNT DAKOTA LLC
2014-11-01,2308.4418604651164,2227.8372093023254,PETRO-HUNT DAKOTA LLC
2014-10-01,3286.2045454545455,3677.409090909091,PETRO-HUNT DAKOTA LLC
2014-09-01,4021.1627906976746,4166.116279069767,PETRO-HUNT DAKOTA LLC
2014-08-01,4181.918918918919,7481.216216216216,PETRO-HUNT DAKOTA LLC
2014-07-01,5115.0,8304.394736842105,PETRO-HUNT DAKOTA LLC
2014-06-01,4858.285714285715,6317.8,PETRO-HUNT DAKOTA LLC
2014-05-01,5809.972222222223,6842.527777777777,PETRO-HUNT DAKOTA LLC
2014-04-01,5010.46875,5784.46875,PETRO-HUNT DAKOTA LLC
2014-03-01,6176.777777777777,6377.962962962963,PETRO-HUNT DAKOTA LLC
2014-02-01,4273.04,4399.36,PETRO-HUNT DAKOTA LLC
2014-01-01,4188.36,5375.56,PETRO-HUNT DAKOTA LLC
2013-12-01,7386.72,8238.28,PETRO-HUNT DAKOTA LLC
2013-11-01,6022.95652173913,6338.130434782609,PETRO-HUNT DAKOTA LLC
2013-10-01,4855.9473684210525,4910.736842105263,PETRO-HUNT DAKOTA LLC
2013-09-01,5701.833333333333,5669.277777777777,PETRO-HUNT DAKOTA LLC
2013-08-01,6057.133333333333,5282.666666666667,PETRO-HUNT DAKOTA LLC
2013-07-01,5202.076923076923,4851.7692307692305,PETRO-HUNT DAKOTA LLC
2013-06-01,5342.25,5082.083333333333,PETRO-HUNT DAKOTA LLC
2013-05-01,3851.9,3762.5,PETRO-HUNT DAKOTA LLC
2013-04-01,3806.6666666666665,3659.8888888888887,PETRO-HUNT DAKOTA LLC
2013-03-01,2669.8888888888887,2026.111111111111,PETRO-HUNT DAKOTA LLC
2013-02-01,1820.875,1738.75,PETRO-HUNT DAKOTA LLC
2013-01-01,961.0,852.5,PETRO-HUNT DAKOTA LLC
2012-12-01,894.0,1167.0,PETRO-HUNT DAKOTA LLC
2012-11-01,1510.0,1704.1666666666667,PETRO-HUNT DAKOTA LLC
2012-10-01,1852.8,2223.8,PETRO-HUNT DAKOTA LLC
2012-09-01,2079.3333333333335,2356.3333333333335,PETRO-HUNT DAKOTA LLC
