api,EUR oil,operator_name,well_name
33053046400000,0,SLAWSON EXPLORATION COMPANY INC,GABRIEL  7-36-25TFH
33053046740000,551019,MARATHON OIL COMPANY,ANNIE USA  11-29TFH
33053046930000,403468,PETRO-HUNT DAKOTA LLC,PIRATE   1-2-11H
33053047160000,466624,ENERPLUS RESOURCES USA CORPORATION,BOBCAT  150-94-04A-09H TF
33053047170000,799862,ENERPLUS RESOURCES USA CORPORATION,FOX  150-94-04A-09H
33053047730000,477641,PETRO-HUNT DAKOTA LLC,CAPER  1-15-22H
33053047860000,624314,ENERPLUS RESOURCES USA CORPORATION,GRASSY KNOLL  2-11H
33053047870000,688016,ENERPLUS RESOURCES USA CORPORATION,BANJO  149-94-02B-01H TF
33053048600000,601900,WPX ENERGY WILLISTON LLC,MORSETTE  35-26HZ
33053048610000,506426,WPX ENERGY WILLISTON LLC,MORSETTE  35-26HD
33053048620000,399974,WPX ENERGY WILLISTON LLC,MORSETTE  35-26HX
33053048790000,348595,PETRO-HUNT DAKOTA LLC,SLUGGER  1-16-21H
33053048800000,414756,PETRO-HUNT DAKOTA LLC,TALON  1-9-4H
33053049280000,142794,PETRO-HUNT DAKOTA LLC,KIT  11-15H-1522-147101-MB
33053049290000,186987,PETRO-HUNT DAKOTA LLC,MOE  24-31H-3031-147102-BTF
33053049490000,270900,SLAWSON EXPLORATION COMPANY INC,MAUSER FEDERAL  4-18-17TFH
33053049500000,296835,SLAWSON EXPLORATION COMPANY INC,MAUSER (FEDERAL)  7-18-17H
33053049890000,430170,ABRAXAS PETROLEUM CORP,LILLIBRIDGE  20-17-5H
33053049900000,338594,ABRAXAS PETROLEUM CORP,LILLIBRIDGE  20-17-6H
33053049910000,367599,ABRAXAS PETROLEUM CORP,LILLIBRIDGE  20-17-7H
33053049920000,409237,ABRAXAS PETROLEUM CORP,LILLIBRIDGE  20-17-8H
33053050020000,242028,PETRO-HUNT DAKOTA LLC,EXCALIBUR  3-25-36H
33053050030000,243087,PETRO-HUNT DAKOTA LLC,EXCALIBUR  4-25-36H
33053050040000,320293,PETRO-HUNT DAKOTA LLC,EXCALIBUR  5-25-36H
33053050760000,350017,PETRO-HUNT DAKOTA LLC,CAPER  6-22-15H
33053050770000,256653,PETRO-HUNT DAKOTA LLC,CAPER  5-22-15H
33053051090000,267109,PETRO-HUNT DAKOTA LLC,HOT ROD  4-27-26H
33053051620000,523203,MARATHON OIL COMPANY,SCOTT QUALE USA  21-29TFH
33053051630000,532445,MARATHON OIL COMPANY,CHUCK QUALE USA  21-29H
33053052090000,272147,PETRO-HUNT DAKOTA LLC,EXCALIBUR  2-25-36H
33053052100000,320035,PETRO-HUNT DAKOTA LLC,EXCALIBUR  1-25-36H
33053052320000,343873,PETRO-HUNT DAKOTA LLC,CAPER  2-15-22H
33053052330000,278968,PETRO-HUNT DAKOTA LLC,CAPER  3-15-22H
33053052340000,267025,PETRO-HUNT DAKOTA LLC,CAPER  4-15-22H
33053052380000,234164,PETRO-HUNT DAKOTA LLC,PIRATE  5-2-11H
33053052390000,282984,PETRO-HUNT DAKOTA LLC,PIRATE  6-2-11H
33053053170000,429898,MARATHON OIL COMPANY,CHEETAH USA  14-16TFH
33053053180000,420250,MARATHON OIL COMPANY,FLICKA USA  13-16TFH
33053053320000,893573,ENERPLUS RESOURCES USA CORPORATION,COURAGE  150-94-06A-18H
33053053330000,780067,ENERPLUS RESOURCES USA CORPORATION,PRIDE  150-94-06A-18H TF
33053053610000,225246,PETRO-HUNT DAKOTA LLC,TY WEBB   3-1-12H
33053053630000,165282,PETRO-HUNT DAKOTA LLC,TY WEBB   1-1-12H
33053053640000,209649,PETRO-HUNT DAKOTA LLC,DEAN WORMER   2-33-28H
33053053650000,263170,PETRO-HUNT DAKOTA LLC,DEAN WORMER   1-33-28H
33053053780000,342877,PETRO-HUNT DAKOTA LLC,PIRATE   2-2-11H
33053053790000,237529,PETRO-HUNT DAKOTA LLC,PIRATE   3-2-11H
33053053800000,266489,PETRO-HUNT DAKOTA LLC,PIRATE   4-2-11H
33053053860000,695460,ENERPLUS RESOURCES USA CORPORATION,RIBBON  152-94-18B-19H
33053054340000,306038,ABRAXAS PETROLEUM CORP,RAVIN  26-35-7H
33053054350000,312286,ABRAXAS PETROLEUM CORP,RAVIN  26-35-6H
33053054360000,367897,ABRAXAS PETROLEUM CORP,RAVIN  26-35-5H
33053054370000,488259,ABRAXAS PETROLEUM CORP,RAVIN  26-35-4H
33053054730000,531839,ENERPLUS RESOURCES USA CORPORATION,BULL  152-94-18B-19H-TF
33053054740000,394130,ENERPLUS RESOURCES USA CORPORATION,RATTLE  152-94-18B-19H
33053054750000,610798,ENERPLUS RESOURCES USA CORPORATION,HOGNOSE  152-94-18B-19H-TF
33053055010000,656421,WPX ENERGY WILLISTON LLC,GOOD VOICE  34-27HD
33053055020000,533056,WPX ENERGY WILLISTON LLC,GOOD VOICE  34-27HZ
33053055030000,760844,WPX ENERGY WILLISTON LLC,GOOD VOICE  34-27HB
33053055500000,207459,PETRO-HUNT DAKOTA LLC,SLUGGER  5-16-21H
33053055510000,295299,PETRO-HUNT DAKOTA LLC,TALON  5-9-4H
33053055540000,338911,PETRO-HUNT DAKOTA LLC,SLUGGER  3-16-21H
33053055550000,383038,PETRO-HUNT DAKOTA LLC,TALON  3-9-4H
33053055710000,315384,PETRO-HUNT DAKOTA LLC,SLUGGER  7-16-21H
33053055720000,321060,PETRO-HUNT DAKOTA LLC,TALON  7-9-4H
33053055730000,221620,PETRO-HUNT DAKOTA LLC,SLUGGER  6-16-21H
33053055740000,287229,PETRO-HUNT DAKOTA LLC,TALON  6-9-4H
33053056080000,335761,WPX ENERGY WILLISTON LLC,KALE BAD BRAVE  19-18HB
